,Age,WFH_Days_Per_Week,Gender,Education_Level,Marital_Status,Has_Children,Location_Type,Department,Job_Level,Company_Size,Industry,Home_Office_Quality,Internet_Speed_Category,Work_Hours_Per_Week,Manager_Support_Level,Team_Collaboration_Frequency,Task_Completion_Rate,Quality_Score,Innovation_Score,Efficiency_Rating,Meetings_Per_Week,Commute_Time_Minutes,Job_Satisfaction,Stress_Level,Work_Life_Balance,Prod_Efficiency,Exp_Task_Rate
85,43,5,Male,Bachelor Degree,Married,No,Urban,Finance,Mid-Level,Small (51-200),Technology,Average,Moderate (25-50 Mbps),44,Moderate,Weekly,86.9,79.4,66.9,95.0,7,0,100.0,3,3,8445.5,434.5
86,28,2,Female,Master Degree,Married,No,Rural,Marketing,Junior,Large (1001-5000),Finance,Good,Very Fast (100+ Mbps),38,High,Few times per week,78.3,90.2,87.1,89.8,5,39,100.0,7,8,7453.4,156.6
87,32,2,Female,Bachelor Degree,Single,Yes,Rural,Sales,Junior,Large (1001-5000),Media,Excellent,Very Fast (100+ Mbps),34,Low,Bi-weekly,87.1,100.0,95.0,95.0,13,39,98.8,7,4,8987.0,0.0
88,31,2,Female,Master Degree,Married,Yes,Urban,Engineering,Mid-Level,Startup (1-50),Finance,Good,Very Fast (100+ Mbps),36,Moderate,Few times per week,96.7,100.0,95.0,95.0,8,79,100.0,7,9,8863.5,290.1
89,22,5,Female,Bachelor Degree,Single,No,Urban,Engineering,Junior,Large (1001-5000),Technology,Good,Moderate (25-50 Mbps),36,High,Few times per week,88.0,82.7,80.7,95.0,7,0,100.0,4,7,8483.5,0.0
90,37,4,Female,Bachelor Degree,Single,No,Urban,Marketing,Mid-Level,Startup (1-50),Finance,Good,Moderate (25-50 Mbps),34,High,Daily,79.1,85.2,62.9,95.0,7,20,100.0,4,6,8312.5,553.6999999999999
91,37,4,Male,Bachelor Degree,Married,Yes,Urban,Sales,Senior,Small (51-200),Education,Good,Moderate (25-50 Mbps),34,Very High,Daily,88.5,100.0,81.5,95.0,12,0,100.0,9,7,9310.0,796.5
92,35,5,Female,Bachelor Degree,Married,No,Urban,Customer Success,Senior,Enterprise (5000+),Education,Excellent,Very Fast (100+ Mbps),37,Moderate,Few times per week,100.0,99.2,81.4,95.0,5,0,100.0,7,9,9310.0,900.0
93,32,5,Male,Master Degree,Single,No,Rural,Marketing,Mid-Level,Large (1001-5000),Technology,Good,Very Fast (100+ Mbps),39,Moderate,Daily,78.2,89.5,79.0,88.2,12,0,100.0,7,5,7020.719999999999,312.8
94,22,4,Male,Bachelor Degree,Single,Yes,Urban,Design,Junior,Large (1001-5000),Retail,Average,Fast (50-100 Mbps),42,Very High,Few times per week,78.0,89.2,84.1,95.0,4,21,100.0,3,5,8759.0,78.0
95,31,1,Female,Bachelor Degree,Married,No,Urban,Engineering,Junior,Medium (201-1000),Education,Average,Very Fast (100+ Mbps),34,Moderate,Daily,48.0,54.8,46.9,69.2,8,73,84.4,5,6,3079.4,96.0
96,31,4,Female,Bachelor Degree,Married,No,Urban,Data Science,Junior,Small (51-200),Technology,Good,Fast (50-100 Mbps),36,Moderate,Weekly,100.0,97.9,92.0,95.0,9,31,100.0,2,6,9310.0,500.0
97,27,2,Female,Bachelor Degree,Married,Yes,Rural,Sales,Mid-Level,Large (1001-5000),Technology,Average,Fast (50-100 Mbps),38,High,Daily,73.1,93.4,76.5,95.0,9,37,100.0,7,3,8246.0,73.1
98,38,4,Female,Bachelor Degree,In Relationship,Yes,Suburban,Marketing,Lead,Small (51-200),Education,Good,Fast (50-100 Mbps),34,High,Weekly,97.2,89.1,81.7,95.0,8,22,100.0,6,7,9310.0,874.8000000000001
99,51,4,Female,Bachelor Degree,Single,Yes,Suburban,Sales,Manager,Medium (201-1000),Government,Average,Moderate (25-50 Mbps),38,High,Daily,85.7,80.0,72.4,90.4,5,47,100.0,8,7,7485.12,1456.9
100,36,3,Female,Bachelor Degree,Single,No,Urban,Engineering,Lead,Large (1001-5000),Finance,Excellent,Moderate (25-50 Mbps),47,High,Daily,90.3,99.2,91.9,95.0,2,41,100.0,7,5,9310.0,632.1
101,37,4,Male,Bachelor Degree,Married,No,Urban,Engineering,Senior,Enterprise (5000+),Manufacturing,Good,Fast (50-100 Mbps),37,Very High,Weekly,95.8,97.4,95.0,95.0,11,46,100.0,9,8,9310.0,766.4
102,34,5,Male,PhD,Single,No,Suburban,Finance,Mid-Level,Large (1001-5000),Technology,Excellent,Fast (50-100 Mbps),34,High,Daily,100.0,100.0,83.5,95.0,8,0,100.0,2,6,9310.0,400.0
103,22,1,Female,Master Degree,Married,No,Suburban,Sales,Junior,Large (1001-5000),Media,Good,Fast (50-100 Mbps),41,Low,Daily,62.4,59.0,79.5,75.8,13,10,84.6,6,7,4328.18,62.4
104,34,2,Female,Bachelor Degree,Married,No,Urban,Data Science,Junior,Startup (1-50),Education,Average,Very Fast (100+ Mbps),37,Very High,Few times per week,62.1,84.0,59.9,94.4,10,49,100.0,6,5,7164.960000000001,62.1
105,35,4,Male,Master Degree,In Relationship,No,Urban,Sales,Senior,Medium (201-1000),Education,Excellent,Very Fast (100+ Mbps),25,Very High,Few times per week,100.0,99.2,95.0,95.0,11,0,100.0,2,8,9310.0,500.0
106,57,5,Male,Master Degree,Divorced,Yes,Suburban,Data Science,Mid-Level,Large (1001-5000),Technology,Excellent,Very Fast (100+ Mbps),43,Moderate,Daily,87.5,97.1,88.2,95.0,9,0,100.0,7,5,9310.0,262.5
107,33,1,Male,Bachelor Degree,In Relationship,No,Urban,Engineering,Senior,Startup (1-50),Technology,Average,Very Fast (100+ Mbps),47,Very High,Monthly,95.1,97.5,89.6,95.0,3,33,100.0,4,9,9310.0,285.29999999999995
108,37,0,Female,Master Degree,Single,No,Suburban,Engineering,Senior,Large (1001-5000),Retail,Good,Very Fast (100+ Mbps),41,High,Bi-weekly,100.0,89.9,78.3,95.0,8,41,100.0,7,6,9310.0,500.0
109,34,0,Female,Bachelor Degree,Divorced,Yes,Urban,Sales,Junior,Enterprise (5000+),Technology,Good,Moderate (25-50 Mbps),48,High,Bi-weekly,72.5,76.0,50.7,84.8,6,58,100.0,2,4,6173.44,290.0
110,24,0,Female,Master Degree,Single,No,Urban,Product,Junior,Small (51-200),Technology,Poor,Fast (50-100 Mbps),45,Low,Few times per week,81.5,62.5,59.6,78.6,9,53,84.6,6,7,5289.78,0.0
111,45,5,Female,Bachelor Degree,Married,No,Urban,Marketing,Senior,Large (1001-5000),Technology,Good,Very Fast (100+ Mbps),36,High,Monthly,53.6,62.2,37.9,69.1,6,0,100.0,6,7,3869.5999999999995,643.2
112,41,4,Female,Bachelor Degree,Married,No,Rural,Engineering,Mid-Level,Large (1001-5000),Technology,Average,Very Fast (100+ Mbps),54,Low,Weekly,78.5,69.0,47.7,85.9,6,43,99.1,6,6,6047.360000000001,392.5
113,42,4,Female,Bachelor Degree,Single,Yes,Urban,Engineering,Senior,Medium (201-1000),Education,Poor,Fast (50-100 Mbps),43,Moderate,Weekly,100.0,100.0,85.3,95.0,6,46,100.0,5,8,9310.0,1300.0
114,26,3,Male,Professional Degree,Married,No,Urban,Sales,Mid-Level,Large (1001-5000),Finance,Excellent,Very Fast (100+ Mbps),44,Moderate,Few times per week,47.2,64.0,49.2,72.5,5,23,89.1,5,6,3936.75,47.2
115,47,4,Male,Master Degree,Single,Yes,Urban,Operations,Lead,Small (51-200),Technology,Good,Very Fast (100+ Mbps),36,Moderate,Daily,100.0,94.2,76.7,95.0,10,5,100.0,6,4,9310.0,1400.0
116,22,1,Female,Bachelor Degree,Married,Yes,Suburban,Sales,Junior,Large (1001-5000),Finance,Good,Moderate (25-50 Mbps),32,Very High,Bi-weekly,76.8,100.0,94.2,95.0,8,46,100.0,5,2,9006.0,76.8
