Age,Years_Experience,WFH_Days_Per_Week,Gender,Education_Level,Marital_Status,Has_Children,Location_Type,Department,Job_Level,Company_Size,Industry,Home_Office_Quality,Internet_Speed_Category,Work_Hours_Per_Week,Manager_Support_Level,Team_Collaboration_Frequency,Productivity_Score,Task_Completion_Rate,Quality_Score,Innovation_Score,Efficiency_Rating,Meetings_Per_Week,Commute_Time_Minutes,Job_Satisfaction,Stress_Level,Work_Life_Balance,Smart_Work_Index
22,1,4,Female,Professional Degree,Married,Yes,Suburban,Marketing,Junior,Startup (1-50),Education,Good,Very Fast (100+ Mbps),56,Moderate,Bi-weekly,50.2,62.5,50.0,55.9,69.9,6,9,100.0,4,9,3493.75
23,0,1,Female,Bachelor Degree,Married,No,Suburban,Engineering,Junior,Small (51-200),Finance,Average,Moderate (25-50 Mbps),47,Moderate,Few times per week,94.0,100.0,97.9,66.8,95.0,6,47,100.0,5,6,6680.0
36,2,0,Female,Master Degree,Married,Yes,Suburban,Marketing,Junior,Large (1001-5000),Manufacturing,Average,Fast (50-100 Mbps),53,High,Few times per week,98.0,94.2,100.0,90.3,95.0,8,37,100.0,5,7,8506.26
36,3,2,Female,Master Degree,Divorced,No,Urban,Marketing,Mid-Level,Startup (1-50),Consulting,Good,Very Fast (100+ Mbps),41,Very High,Bi-weekly,98.0,89.8,93.3,95.0,95.0,5,4,100.0,6,7,8531.0
33,0,2,Male,Bachelor Degree,Married,No,Suburban,Engineering,Junior,Small (51-200),Government,Average,Very Fast (100+ Mbps),45,Low,Bi-weekly,65.4,67.5,78.6,63.5,95.0,3,15,73.1,6,7,4286.25
32,3,4,Female,Bachelor Degree,Married,Yes,Urban,Engineering,Senior,Large (1001-5000),Technology,Average,Fast (50-100 Mbps),48,High,Bi-weekly,78.0,82.5,83.3,83.1,95.0,3,20,100.0,3,6,6855.749999999999
22,1,2,Female,Master Degree,Married,No,Urban,Operations,Junior,Medium (201-1000),Consulting,Average,Fast (50-100 Mbps),32,High,Weekly,73.4,74.0,79.8,75.9,94.3,2,72,100.0,6,5,5616.6
28,2,2,Male,PhD,Single,Yes,Rural,Data Science,Junior,Large (1001-5000),Healthcare,Excellent,Very Fast (100+ Mbps),44,Moderate,Daily,75.0,88.2,83.8,89.2,82.7,7,24,100.0,3,9,7867.4400000000005
30,0,4,Female,Bachelor Degree,Divorced,No,Urban,Marketing,Junior,Small (51-200),Healthcare,Good,Very Fast (100+ Mbps),41,Moderate,Daily,90.3,100.0,92.1,64.6,95.0,6,2,100.0,9,9,6459.999999999999
44,7,4,Male,Master Degree,Single,No,Suburban,Finance,Senior,Enterprise (5000+),Technology,Good,Fast (50-100 Mbps),50,High,Daily,78.9,99.8,75.7,79.4,95.0,8,18,100.0,4,3,7924.12
38,9,2,Female,Associate Degree,Divorced,Yes,Suburban,Marketing,Mid-Level,Large (1001-5000),Finance,Average,Very Fast (100+ Mbps),44,High,Daily,98.0,100.0,99.1,80.9,95.0,9,20,100.0,7,5,8090.000000000001
22,0,4,Male,Master Degree,Married,Yes,Urban,Marketing,Junior,Small (51-200),Government,Excellent,Fast (50-100 Mbps),27,Low,Daily,68.3,52.6,70.0,56.2,93.9,8,33,100.0,4,7,2956.1200000000003
31,0,3,Female,Bachelor Degree,Married,Yes,Suburban,Engineering,Junior,Startup (1-50),Technology,Good,Fast (50-100 Mbps),29,Very High,Daily,98.0,100.0,96.2,74.0,95.0,6,0,100.0,9,8,7400.0
28,3,0,Female,Master Degree,Married,Yes,Urban,Product,Senior,Small (51-200),Technology,Average,Very Fast (100+ Mbps),49,Moderate,Monthly,75.9,77.4,81.5,51.2,95.0,4,21,100.0,8,8,3962.8800000000006
40,9,0,Female,Master Degree,Married,No,Urban,Sales,Senior,Large (1001-5000),Healthcare,Good,Moderate (25-50 Mbps),37,Moderate,Daily,65.9,51.0,76.5,72.2,87.1,5,63,96.2,7,5,3682.2000000000003
44,11,3,Male,Bachelor Degree,Married,Yes,Rural,Operations,Lead,Small (51-200),Government,Average,Very Fast (100+ Mbps),35,Moderate,Daily,55.3,63.6,58.8,68.2,77.1,9,34,82.8,7,5,4337.52
43,7,2,Male,Master Degree,Married,No,Suburban,Marketing,Senior,Large (1001-5000),Education,Poor,Fast (50-100 Mbps),37,Moderate,Weekly,82.9,73.4,80.9,86.0,95.0,10,36,100.0,8,5,6312.400000000001
27,1,5,Male,Associate Degree,Married,Yes,Urban,Sales,Junior,Small (51-200),Technology,Average,Moderate (25-50 Mbps),36,Low,Weekly,98.0,100.0,100.0,81.0,95.0,5,0,100.0,7,6,8100.0
32,5,4,Female,Master Degree,Married,No,Urban,Sales,Senior,Large (1001-5000),Finance,Excellent,Fast (50-100 Mbps),41,Low,Daily,94.4,100.0,93.6,83.6,95.0,12,16,100.0,8,8,8360.0
37,8,4,Female,Master Degree,Married,Yes,Suburban,Operations,Senior,Small (51-200),Finance,Excellent,Fast (50-100 Mbps),36,Moderate,Daily,84.1,83.5,83.2,68.7,95.0,7,35,75.1,5,5,5736.45
43,6,5,Male,Associate Degree,Single,Yes,Urban,Engineering,Senior,Large (1001-5000),Technology,Average,Very Fast (100+ Mbps),40,High,Daily,82.2,77.8,86.3,65.5,91.0,8,0,100.0,6,7,5095.9
30,1,5,Male,Master Degree,Divorced,No,Urban,Sales,Junior,Startup (1-50),Healthcare,Good,Moderate (25-50 Mbps),32,High,Few times per week,71.9,75.4,81.1,62.2,95.0,5,0,100.0,6,8,4689.880000000001
33,2,2,Female,Bachelor Degree,Married,Yes,Suburban,Marketing,Junior,Small (51-200),Technology,Average,Very Fast (100+ Mbps),40,Moderate,Daily,93.8,86.7,85.3,71.6,95.0,4,47,84.7,4,6,6207.719999999999
25,1,1,Male,Bachelor Degree,Married,No,Urban,Data Science,Junior,Medium (201-1000),Consulting,Average,Fast (50-100 Mbps),50,Moderate,Weekly,83.4,70.7,86.4,55.5,95.0,10,12,100.0,6,6,3923.8500000000004
24,0,4,Female,Bachelor Degree,In Relationship,No,Suburban,Sales,Junior,Medium (201-1000),Healthcare,Poor,Very Fast (100+ Mbps),39,Very High,Weekly,98.0,84.9,100.0,95.0,95.0,5,41,100.0,3,6,8065.500000000001
42,6,2,Male,Bachelor Degree,Married,No,Suburban,Operations,Senior,Medium (201-1000),Consulting,Good,Very Fast (100+ Mbps),45,Moderate,Weekly,98.0,100.0,99.0,88.5,95.0,12,79,100.0,6,7,8850.0
47,6,3,Female,Master Degree,Married,Yes,Urban,Engineering,Lead,Medium (201-1000),Government,Average,Very Fast (100+ Mbps),34,Low,Few times per week,74.7,70.8,74.9,61.3,95.0,5,18,76.0,3,8,4340.04
34,4,4,Male,Bachelor Degree,Married,Yes,Urban,Engineering,Mid-Level,Enterprise (5000+),Government,Excellent,Very Fast (100+ Mbps),45,High,Daily,98.0,89.9,98.5,81.2,95.0,8,9,100.0,6,10,7299.880000000001
44,17,5,Female,Bachelor Degree,Divorced,No,Urban,Product,Manager,Small (51-200),Technology,Good,Moderate (25-50 Mbps),48,Moderate,Few times per week,98.0,92.9,97.3,95.0,95.0,12,0,100.0,6,8,8825.5
38,11,3,Female,Master Degree,Single,No,Suburban,HR,Lead,Large (1001-5000),Government,Excellent,Moderate (25-50 Mbps),50,Moderate,Few times per week,92.2,91.2,91.9,87.3,95.0,7,37,100.0,3,6,7961.76
29,1,4,Male,Associate Degree,Married,Yes,Urban,Sales,Junior,Medium (201-1000),Manufacturing,Average,Fast (50-100 Mbps),43,High,Weekly,53.3,60.6,55.4,42.0,66.0,2,38,100.0,5,3,2545.2000000000003
38,2,2,Female,Bachelor Degree,Married,Yes,Urban,Marketing,Junior,Medium (201-1000),Manufacturing,Average,Very Fast (100+ Mbps),46,Moderate,Bi-weekly,81.6,89.1,90.9,72.4,95.0,6,29,86.0,7,4,6450.84
48,17,4,Female,Bachelor Degree,Single,Yes,Rural,Engineering,Manager,Medium (201-1000),Technology,Excellent,Very Fast (100+ Mbps),34,High,Daily,98.0,82.2,89.3,79.2,95.0,9,6,100.0,6,2,6510.240000000001
34,5,0,Female,Master Degree,Single,No,Urban,Finance,Mid-Level,Large (1001-5000),Technology,Good,Fast (50-100 Mbps),39,Moderate,Monthly,76.1,71.4,73.0,56.9,88.2,10,43,100.0,6,6,4062.6600000000003
49,24,5,Female,Bachelor Degree,Married,Yes,Rural,Engineering,Director,Medium (201-1000),Non-profit,Average,Very Fast (100+ Mbps),37,Moderate,Bi-weekly,84.2,81.2,96.1,82.7,95.0,12,0,95.0,5,6,6715.240000000001
22,0,0,Male,Bachelor Degree,Married,No,Urban,HR,Junior,Large (1001-5000),Technology,Average,Fast (50-100 Mbps),43,Moderate,Daily,48.5,59.9,50.0,49.1,69.6,9,0,71.1,2,8,2941.09
42,7,4,Female,Bachelor Degree,Divorced,Yes,Urban,Marketing,Mid-Level,Startup (1-50),Technology,Average,Very Fast (100+ Mbps),38,High,Daily,90.1,87.3,83.3,70.8,95.0,10,27,100.0,9,3,6180.839999999999
32,9,2,Female,Associate Degree,Married,Yes,Urban,Product,Senior,Small (51-200),Media,Average,Moderate (25-50 Mbps),56,Moderate,Few times per week,98.0,100.0,92.8,81.0,95.0,7,26,87.9,5,6,8100.0
35,5,3,Female,PhD,Single,No,Urban,Data Science,Mid-Level,Medium (201-1000),Healthcare,Good,Fast (50-100 Mbps),45,High,Daily,98.0,98.3,97.3,84.3,95.0,10,43,100.0,3,8,8286.689999999999
22,0,3,Male,Master Degree,Married,Yes,Urban,Engineering,Junior,Medium (201-1000),Media,Good,Moderate (25-50 Mbps),50,Very High,Daily,85.6,89.0,81.9,69.5,95.0,7,57,100.0,6,3,6185.5
33,6,1,Female,Master Degree,Married,Yes,Rural,Customer Success,Lead,Medium (201-1000),Finance,Good,Fast (50-100 Mbps),34,High,Bi-weekly,98.0,100.0,96.7,67.9,95.0,9,56,100.0,9,5,6790.000000000001
38,10,2,Female,Bachelor Degree,Married,Yes,Urban,HR,Lead,Medium (201-1000),Technology,Average,Fast (50-100 Mbps),41,Moderate,Daily,96.6,100.0,93.8,83.3,95.0,8,38,100.0,4,7,8330.0
48,12,4,Male,Bachelor Degree,Single,Yes,Suburban,HR,Manager,Small (51-200),Healthcare,Good,Very Fast (100+ Mbps),43,Moderate,Few times per week,84.9,92.5,87.2,67.9,95.0,9,32,86.9,5,5,6280.750000000001
30,0,4,Female,Master Degree,Married,Yes,Suburban,Design,Mid-Level,Medium (201-1000),Education,Average,Very Fast (100+ Mbps),42,Very Low,Weekly,60.3,61.3,60.6,47.0,82.1,12,28,48.4,4,10,2881.1
27,1,0,Female,Associate Degree,Divorced,No,Suburban,Marketing,Mid-Level,Medium (201-1000),Finance,Excellent,Moderate (25-50 Mbps),53,High,Bi-weekly,65.2,56.2,68.7,81.7,75.1,8,14,100.0,8,6,4591.54
30,5,4,Male,Associate Degree,Married,No,Suburban,Finance,Mid-Level,Small (51-200),Finance,Average,Fast (50-100 Mbps),37,High,Daily,72.6,79.8,78.0,72.3,88.9,11,31,100.0,6,9,5769.54
43,13,0,Male,Bachelor Degree,Married,Yes,Urban,Customer Success,Lead,Small (51-200),Technology,Average,Fast (50-100 Mbps),43,Moderate,Daily,85.9,100.0,88.7,75.4,95.0,12,28,100.0,8,9,7540.000000000001
37,5,3,Female,PhD,Married,No,Urban,Marketing,Junior,Large (1001-5000),Technology,Good,Fast (50-100 Mbps),27,Moderate,Weekly,94.8,90.8,97.0,89.4,95.0,6,36,100.0,8,5,8117.52
30,0,2,Male,Master Degree,Single,No,Urban,Marketing,Junior,Large (1001-5000),Retail,Good,Very Fast (100+ Mbps),44,High,Weekly,74.9,80.6,73.6,59.2,95.0,11,57,100.0,7,5,4771.5199999999995
39,10,3,Male,Bachelor Degree,Single,Yes,Urban,Sales,Lead,Small (51-200),Finance,Excellent,Slow (<25 Mbps),45,High,Monthly,98.0,97.8,91.3,71.9,95.0,7,18,100.0,4,5,7031.820000000001
35,7,2,Male,Master Degree,Divorced,No,Urban,HR,Mid-Level,Small (51-200),Technology,Average,Very Fast (100+ Mbps),41,High,Daily,89.0,73.9,88.9,95.0,95.0,14,33,100.0,2,6,7020.500000000001
43,5,5,Male,Bachelor Degree,Married,No,Urban,Finance,Mid-Level,Small (51-200),Technology,Average,Moderate (25-50 Mbps),44,Moderate,Weekly,88.9,86.9,79.4,66.9,95.0,7,0,100.0,3,3,5813.610000000001
28,2,2,Female,Master Degree,Married,No,Rural,Marketing,Junior,Large (1001-5000),Finance,Good,Very Fast (100+ Mbps),38,High,Few times per week,83.0,78.3,90.2,87.1,89.8,5,39,100.0,7,8,6819.929999999999
32,0,2,Female,Bachelor Degree,Single,Yes,Rural,Sales,Junior,Large (1001-5000),Media,Excellent,Very Fast (100+ Mbps),34,Low,Bi-weekly,94.6,87.1,100.0,95.0,95.0,13,39,98.8,7,4,8274.5
31,3,2,Female,Master Degree,Married,Yes,Urban,Engineering,Mid-Level,Startup (1-50),Finance,Good,Very Fast (100+ Mbps),36,Moderate,Few times per week,93.3,96.7,100.0,95.0,95.0,8,79,100.0,7,9,9186.5
22,0,5,Female,Bachelor Degree,Single,No,Urban,Engineering,Junior,Large (1001-5000),Technology,Good,Moderate (25-50 Mbps),36,High,Few times per week,89.3,88.0,82.7,80.7,95.0,7,0,100.0,4,7,7101.6
37,7,4,Female,Bachelor Degree,Single,No,Urban,Marketing,Mid-Level,Startup (1-50),Finance,Good,Moderate (25-50 Mbps),34,High,Daily,87.5,79.1,85.2,62.9,95.0,7,20,100.0,4,6,4975.389999999999
37,9,4,Male,Bachelor Degree,Married,Yes,Urban,Sales,Senior,Small (51-200),Education,Good,Moderate (25-50 Mbps),34,Very High,Daily,98.0,88.5,100.0,81.5,95.0,12,0,100.0,9,7,7212.75
35,9,5,Female,Bachelor Degree,Married,No,Urban,Customer Success,Senior,Enterprise (5000+),Education,Excellent,Very Fast (100+ Mbps),37,Moderate,Few times per week,98.0,100.0,99.2,81.4,95.0,5,0,100.0,7,9,8140.000000000001
32,4,5,Male,Master Degree,Single,No,Rural,Marketing,Mid-Level,Large (1001-5000),Technology,Good,Very Fast (100+ Mbps),39,Moderate,Daily,79.6,78.2,89.5,79.0,88.2,12,0,100.0,7,5,6177.8
22,1,4,Male,Bachelor Degree,Single,Yes,Urban,Design,Junior,Large (1001-5000),Retail,Average,Fast (50-100 Mbps),42,Very High,Few times per week,92.2,78.0,89.2,84.1,95.0,4,21,100.0,3,5,6559.799999999999
31,2,1,Female,Bachelor Degree,Married,No,Urban,Engineering,Junior,Medium (201-1000),Education,Average,Very Fast (100+ Mbps),34,Moderate,Daily,44.5,48.0,54.8,46.9,69.2,8,73,84.4,5,6,2251.2
31,5,4,Female,Bachelor Degree,Married,No,Urban,Data Science,Junior,Small (51-200),Technology,Good,Fast (50-100 Mbps),36,Moderate,Weekly,98.0,100.0,97.9,92.0,95.0,9,31,100.0,2,6,9200.0
27,1,2,Female,Bachelor Degree,Married,Yes,Rural,Sales,Mid-Level,Large (1001-5000),Technology,Average,Fast (50-100 Mbps),38,High,Daily,86.8,73.1,93.4,76.5,95.0,9,37,100.0,7,3,5592.15
38,9,4,Female,Bachelor Degree,In Relationship,Yes,Suburban,Marketing,Lead,Small (51-200),Education,Good,Fast (50-100 Mbps),34,High,Weekly,98.0,97.2,89.1,81.7,95.0,8,22,100.0,6,7,7941.240000000001
51,17,4,Female,Bachelor Degree,Single,Yes,Suburban,Sales,Manager,Medium (201-1000),Government,Average,Moderate (25-50 Mbps),38,High,Daily,82.8,85.7,80.0,72.4,90.4,5,47,100.0,8,7,6204.68
36,7,3,Female,Bachelor Degree,Single,No,Urban,Engineering,Lead,Large (1001-5000),Finance,Excellent,Moderate (25-50 Mbps),47,High,Daily,98.0,90.3,99.2,91.9,95.0,2,41,100.0,7,5,8298.57
37,8,4,Male,Bachelor Degree,Married,No,Urban,Engineering,Senior,Enterprise (5000+),Manufacturing,Good,Fast (50-100 Mbps),37,Very High,Weekly,98.0,95.8,97.4,95.0,95.0,11,46,100.0,9,8,9101.0
34,4,5,Male,PhD,Single,No,Suburban,Finance,Mid-Level,Large (1001-5000),Technology,Excellent,Fast (50-100 Mbps),34,High,Daily,98.0,100.0,100.0,83.5,95.0,8,0,100.0,2,6,8350.0
22,1,1,Female,Master Degree,Married,No,Suburban,Sales,Junior,Large (1001-5000),Media,Good,Fast (50-100 Mbps),41,Low,Daily,57.1,62.4,59.0,79.5,75.8,13,10,84.6,6,7,4960.8
34,1,2,Female,Bachelor Degree,Married,No,Urban,Data Science,Junior,Startup (1-50),Education,Average,Very Fast (100+ Mbps),37,Very High,Few times per week,75.9,62.1,84.0,59.9,94.4,10,49,100.0,6,5,3719.79
35,5,4,Male,Master Degree,In Relationship,No,Urban,Sales,Senior,Medium (201-1000),Education,Excellent,Very Fast (100+ Mbps),25,Very High,Few times per week,98.0,100.0,99.2,95.0,95.0,11,0,100.0,2,8,9500.0
57,3,5,Male,Master Degree,Divorced,Yes,Suburban,Data Science,Mid-Level,Large (1001-5000),Technology,Excellent,Very Fast (100+ Mbps),43,Moderate,Daily,98.0,87.5,97.1,88.2,95.0,9,0,100.0,7,5,7717.5
33,3,1,Male,Bachelor Degree,In Relationship,No,Urban,Engineering,Senior,Startup (1-50),Technology,Average,Very Fast (100+ Mbps),47,Very High,Monthly,98.0,95.1,97.5,89.6,95.0,3,33,100.0,4,9,8520.96
37,5,0,Female,Master Degree,Single,No,Suburban,Engineering,Senior,Large (1001-5000),Retail,Good,Very Fast (100+ Mbps),41,High,Bi-weekly,98.0,100.0,89.9,78.3,95.0,8,41,100.0,7,6,7830.0
34,4,0,Female,Bachelor Degree,Divorced,Yes,Urban,Sales,Junior,Enterprise (5000+),Technology,Good,Moderate (25-50 Mbps),48,High,Bi-weekly,72.8,72.5,76.0,50.7,84.8,6,58,100.0,2,4,3675.75
24,0,0,Female,Master Degree,Single,No,Urban,Product,Junior,Small (51-200),Technology,Poor,Fast (50-100 Mbps),45,Low,Few times per week,67.3,81.5,62.5,59.6,78.6,9,53,84.6,6,7,4857.400000000001
45,12,5,Female,Bachelor Degree,Married,No,Urban,Marketing,Senior,Large (1001-5000),Technology,Good,Very Fast (100+ Mbps),36,High,Monthly,56.0,53.6,62.2,37.9,69.1,6,0,100.0,6,7,2031.44
41,5,4,Female,Bachelor Degree,Married,No,Rural,Engineering,Mid-Level,Large (1001-5000),Technology,Average,Very Fast (100+ Mbps),54,Low,Weekly,70.4,78.5,69.0,47.7,85.9,6,43,99.1,6,6,3744.4500000000003
42,13,4,Female,Bachelor Degree,Single,Yes,Urban,Engineering,Senior,Medium (201-1000),Education,Poor,Fast (50-100 Mbps),43,Moderate,Weekly,98.0,100.0,100.0,85.3,95.0,6,46,100.0,5,8,8530.0
26,1,3,Male,Professional Degree,Married,No,Urban,Sales,Mid-Level,Large (1001-5000),Finance,Excellent,Very Fast (100+ Mbps),44,Moderate,Few times per week,54.3,47.2,64.0,49.2,72.5,5,23,89.1,5,6,2322.2400000000002
47,14,4,Male,Master Degree,Single,Yes,Urban,Operations,Lead,Small (51-200),Technology,Good,Very Fast (100+ Mbps),36,Moderate,Daily,98.0,100.0,94.2,76.7,95.0,10,5,100.0,6,4,7670.0
22,1,1,Female,Bachelor Degree,Married,Yes,Suburban,Sales,Junior,Large (1001-5000),Finance,Good,Moderate (25-50 Mbps),32,Very High,Bi-weekly,94.8,76.8,100.0,94.2,95.0,8,46,100.0,5,2,7234.56
